110,9,137,9,137,18,110,18
89,10,106,10,106,14,89,14
153,10,177,10,177,17,153,17
182,10,196,10,196,18,182,18
229,12,241,12,241,17,229,17
304,12,334,12,334,21,304,21
360,12,394,12,394,22,360,22
270,13,289,13,289,20,270,20
289,13,301,13,301,20,289,20
336,13,354,13,354,21,336,21
136,20,157,20,157,28,136,28
89,21,120,21,120,26,89,26
102,36,136,36,136,42,102,42
316,40,330,40,330,44,316,44
108,45,129,45,129,50,108,50
104,52,133,52,133,56,104,56
350,57,374,57,374,62,350,62
97,209,117,209,117,217,97,217
127,206,151,212,149,223,124,217
166,210,226,210,226,218,166,218
100,232,109,232,109,236,100,236
282,300,305,300,305,308,282,308
314,299,340,301,339,311,314,309
366,300,395,302,394,311,366,309
278,311,337,312,337,321,278,319
345,312,376,312,376,320,345,320
386,313,409,313,409,321,386,321
296,324,321,324,321,330,296,330
